title,genre,language
Inception,Sci-Fi,English
Interstellar,Sci-Fi,English
The Matrix,Sci-Fi,English
Titanic,Romance,English
The Notebook,Romance,English
La La Land,Romance,English
John Wick,Action,English
Mad Max: Fury Road,Action,English
The Dark Knight,Action,English
Toy Story,Animation,English
Finding Nemo,Animation,English
Inside Out,Animation,English
Parasite,Thriller,Korean
RRR,Action,Telugu
3 Idiots,Drama,Hindi
Dangal,Drama,Hindi
Your Name,Romance,Japanese
Spirited Away,Fantasy,Japanese
